ID,date_extracted,name,surname,countryID,age,teamID,wage,height,weight,BMI,youthTeamID,value,cards,goals,assists,matches,ntCards,ntGoals,ntAssists,ntMatches,injuryDays,national,transferList,skillForm,skillExperience,skillStamina,skillTeamwork,skillDiscipline,skillPace,skillTechnique,skillPassing,skillKeeper,skillDefending,skillPlaymaking,skillScoring,trainingPosition,isInTrainingSlot
36519432,2021-07-27 14:44:35,Krastan,Apostolov,54,29,79085,33900.0,177.0,71.5,22.82,81617,2707000.0,0,0,0,92,0,0,0,0,0,0,0,11,10,9,1,5,15,3,9,10,5,5,3,,
37968035,2021-07-27 14:44:35,Romildo,Barbadiano,21,29,79085,3900.0,171.0,63.9,21.86,79085,250000.0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,1,1,5,8,3,0,8,1,3,,
37968034,2021-07-27 14:44:35,Giovani,Barriguinha,21,27,79085,2600.0,172.0,76.3,25.8,79085,134000.0,0,0,0,1,0,0,0,0,0,0,0,10,0,3,1,0,6,2,5,1,5,1,4,,
36103236,2021-07-27 14:44:35,Ilario,Bartolozzi,10,29,79085,16900.0,169.0,67.3,23.55,44617,1557000.0,2,6,46,148,0,0,0,0,0,0,0,13,17,11,1,9,13,7,8,0,8,9,8,,
37968028,2021-07-27 14:44:35,Cecilio,Bazzarella,21,20,79085,4800.0,175.0,77.4,25.26,79085,377000.0,0,0,0,1,0,0,0,0,0,0,0,10,0,1,2,1,7,1,9,0,5,7,7,,
37968048,2021-07-27 14:44:35,Josimar,Bendler,21,20,79085,4700.0,166.0,66.9,24.27,79085,332000.0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,2,1,7,2,7,7,1,1,0,,
37937282,2021-07-27 14:44:35,Mustapha,Bonnet,16,18,79085,4700.0,183.0,72.3,21.58,43275,255000.0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,10,3,0,0,6,0,7,,
37464066,2021-07-27 14:44:35,Rody,de Houston,21,22,79085,16300.0,173.0,74.9,25.04,79777,1866000.0,0,0,0,25,0,0,0,0,0,0,0,14,5,6,0,2,12,2,9,10,2,3,3,,
37432229,2021-07-27 14:44:35,Christophe,Derungs,24,22,79085,7200.0,183.0,91.3,27.26,71816,780000.0,0,0,0,14,0,0,0,0,0,0,0,13,3,11,0,1,10,8,9,0,7,2,2,,
37442584,2021-07-27 14:44:35,Fabricio,Fontanello,19,22,79085,15200.0,166.0,61.2,22.22,19087,1078000.0,1,0,0,27,0,0,0,0,0,0,0,3,5,8,2,3,11,7,11,8,7,4,4,,
36952891,2021-07-27 14:44:35,Jan Sebastian,Gałęzewski,1,24,79085,9900.0,178.0,75.5,23.84,94100,660000.0,2,0,1,36,0,0,0,0,0,0,0,3,5,11,1,3,10,5,9,0,8,9,2,,
37968030,2021-07-27 14:44:35,Amado,Grotto,21,20,79085,4100.0,177.0,66.1,21.1,79085,273000.0,0,0,0,2,0,0,0,0,0,0,0,8,0,2,2,1,7,8,1,0,7,0,6,,
37262806,2021-07-27 14:44:35,Kristián,Hakel,14,24,79085,10800.0,191.0,88.6,24.28,28110,767000.0,2,42,16,39,0,0,0,0,24,0,0,4,9,3,1,5,11,5,8,3,7,9,10,,
37606570,2021-07-27 14:44:35,Gustav,Hamp,30,19,79085,5000.0,186.0,87.5,25.3,33212,527000.0,0,0,0,4,0,0,0,0,0,0,0,12,3,4,2,2,10,8,4,1,8,5,1,,
37451705,2021-07-27 14:44:35,Hector,Honceriu,9,20,79085,7100.0,168.0,69.4,24.6,71548,600000.0,1,3,0,26,0,0,0,0,0,0,0,5,5,10,2,3,10,5,3,0,10,5,7,,
36658134,2021-07-27 14:44:35,Ferdinando,Ionata,10,26,79085,11200.0,174.0,75.0,24.78,0,681000.0,1,8,7,28,0,0,0,0,10,0,0,1,8,9,0,4,10,8,5,3,4,9,11,,
37968040,2021-07-27 14:44:35,Devanir,Martini,21,20,79085,4500.0,183.0,83.0,24.78,79085,395000.0,0,0,0,1,0,0,0,0,0,0,0,16,1,0,1,1,7,7,8,0,0,3,7,,
37008614,2021-07-27 14:44:35,Sică,Mergiu,9,24,79085,11700.0,180.0,72.2,22.3,71211,673000.0,2,5,4,34,0,0,0,0,0,0,0,0,7,5,0,3,11,7,4,1,3,8,12,,
37968044,2021-07-27 14:44:35,Nélio,Narenti,21,18,79085,4500.0,171.0,77.1,26.37,79085,333000.0,0,0,0,2,0,0,0,0,0,0,0,10,1,2,2,1,7,5,7,0,8,7,5,,
37634685,2021-07-27 14:44:35,Henrik,Oros,8,19,79085,4300.0,190.0,80.7,22.37,23276,553000.0,0,0,0,6,0,0,0,0,0,0,0,16,3,3,0,1,10,6,6,0,7,6,3,,
37968027,2021-07-27 14:44:35,Renê,Santinho,21,21,79085,4300.0,184.0,78.4,23.15,79085,352000.0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,1,1,5,9,2,1,7,7,2,,
37691056,2021-07-27 14:44:35,Štefan,Sauter,14,20,79085,7300.0,176.0,73.2,23.63,28049,504000.0,0,1,0,8,0,0,0,0,0,0,0,2,4,3,0,2,11,7,2,0,7,8,9,,
37968041,2021-07-27 14:44:35,Serginho,Siakam,21,27,79085,4300.0,177.0,72.8,23.22,79085,266000.0,0,0,0,1,0,0,0,0,0,0,0,5,0,3,1,1,4,7,8,0,7,0,5,,
37690980,2021-07-27 14:44:35,Joel,Sopó,36,20,79085,4600.0,165.0,69.6,25.58,117331,471000.0,1,0,0,30,0,0,0,0,0,0,0,14,5,5,0,2,9,7,7,0,8,2,4,,
37276405,2021-07-27 14:44:35,Artur,Szymkiewicz,1,22,79085,11000.0,179.0,75.3,23.52,37414,964000.0,1,6,13,54,0,0,0,0,0,0,0,8,10,5,0,5,12,9,8,0,5,8,9,,
37533726,2021-07-27 14:44:35,Tazar,Trbojević,39,20,79085,5700.0,164.0,67.4,25.05,73668,378000.0,0,3,0,7,0,0,0,0,0,0,0,2,5,8,2,3,10,3,6,0,7,2,8,,
37968029,2021-07-27 14:44:35,Calixto,Vasallo,21,20,79085,3600.0,176.0,79.2,25.57,79085,265000.0,0,0,0,1,0,0,0,0,0,0,0,12,1,3,1,1,5,5,4,0,8,4,7,,
36519432,2021-07-30 08:45:02,Krastan,Apostolov,54,29,79085,33900.0,177.0,71.5,22.82,81617,2863000.0,0,0,0,92,0,0,0,0,0,0,0,13,10,9,2,6,15,3,9,10,5,5,3,,
36103236,2021-07-30 08:45:02,Ilario,Bartolozzi,10,29,79085,16900.0,169.0,67.3,23.55,44617,1437000.0,2,6,46,148,0,0,0,0,0,0,0,11,17,11,3,10,13,7,8,0,8,9,8,,
37968028,2021-07-30 08:45:02,Cecilio,Bazzarella,21,20,79085,4800.0,175.0,77.4,25.26,79085,369000.0,0,0,0,1,0,0,0,0,0,0,0,10,0,1,3,2,7,1,9,0,5,7,7,,
37968048,2021-07-30 08:45:02,Josimar,Bendler,21,20,79085,4700.0,166.0,66.9,24.27,79085,312000.0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,1,1,7,2,7,7,1,1,0,,
37937282,2021-07-30 08:45:02,Mustapha,Bonnet,16,18,79085,4700.0,183.0,72.3,21.58,43275,278000.0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,1,0,10,3,0,0,7,0,7,,
37464066,2021-07-30 08:45:02,Rody,de Houston,21,22,79085,16300.0,173.0,74.9,25.04,79777,1804000.0,0,0,0,25,0,0,0,0,0,0,0,12,5,6,2,4,12,2,9,10,2,3,3,,
37432229,2021-07-30 08:45:02,Christophe,Derungs,24,22,79085,7200.0,183.0,91.3,27.26,71816,731000.0,0,0,0,14,0,0,0,0,0,0,0,11,3,11,1,2,10,8,9,0,8,2,2,,
37442584,2021-07-30 08:45:02,Fabricio,Fontanello,19,22,79085,15200.0,166.0,61.2,22.22,19087,1221000.0,1,0,0,27,0,0,0,0,0,0,0,6,5,8,3,4,11,7,11,8,7,4,4,,
36952891,2021-07-30 08:45:02,Jan Sebastian,Gałęzewski,1,24,79085,9900.0,178.0,75.5,23.84,94100,603000.0,2,0,1,36,0,0,0,0,0,0,0,0,5,11,3,4,10,5,9,0,8,9,2,,
37968030,2021-07-30 08:45:02,Amado,Grotto,21,20,79085,4100.0,177.0,66.1,21.1,79085,259000.0,0,0,0,2,0,0,0,0,0,0,0,6,0,2,1,1,7,8,1,0,7,0,6,,
37262806,2021-07-30 08:45:02,Kristián,Hakel,14,24,79085,10800.0,191.0,88.6,24.28,28110,769000.0,2,42,16,39,0,0,0,0,21,0,0,4,9,3,0,5,11,5,8,3,7,9,10,,
37606570,2021-07-30 08:45:02,Gustav,Hamp,30,19,79085,5000.0,186.0,87.5,25.3,33212,579000.0,0,0,0,4,0,0,0,0,0,0,0,14,3,4,3,3,10,8,4,1,8,5,1,,
37451705,2021-07-30 08:45:02,Hector,Honceriu,9,20,79085,7100.0,168.0,69.4,24.6,71548,672000.0,1,3,0,26,0,0,0,0,0,0,0,7,5,9,4,4,10,5,3,0,10,5,7,,
36658134,2021-07-30 08:45:02,Ferdinando,Ionata,10,26,79085,11200.0,174.0,75.0,24.78,0,692000.0,1,8,7,28,0,0,0,0,8,0,0,1,8,9,0,4,10,8,5,3,4,9,11,,
37186745,2021-07-30 08:45:02,Günther,Ketels,28,24,79085,18500.0,175.0,74.4,24.29,63628,1434000.0,2,0,15,50,0,0,0,0,0,0,0,6,10,6,0,5,13,11,8,3,8,12,6,,
37008614,2021-07-30 08:45:02,Sică,Mergiu,9,24,79085,11700.0,180.0,72.2,22.3,71211,734000.0,2,5,4,34,0,0,0,0,0,0,0,1,7,5,2,4,11,7,4,1,3,8,12,,
37968044,2021-07-30 08:45:02,Nélio,Narenti,21,18,79085,4500.0,171.0,77.1,26.37,79085,323000.0,0,0,0,2,0,0,0,0,0,0,0,8,1,2,4,3,7,5,7,0,8,7,5,,
37634685,2021-07-30 08:45:02,Henrik,Oros,8,19,79085,4300.0,190.0,80.7,22.37,23276,548000.0,0,0,0,6,0,0,0,0,0,0,0,15,3,3,2,3,10,6,6,0,7,6,3,,
37968027,2021-07-30 08:45:02,Renê,Santinho,21,21,79085,4300.0,184.0,78.4,23.15,79085,361000.0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,3,2,5,9,2,1,7,7,2,,
37691056,2021-07-30 08:45:02,Štefan,Sauter,14,20,79085,7300.0,176.0,73.2,23.63,28049,551000.0,0,1,0,8,0,0,0,0,0,0,0,4,4,3,2,3,11,7,2,0,7,8,9,,
37968041,2021-07-30 08:45:02,Serginho,Siakam,21,27,79085,4300.0,177.0,72.8,23.22,79085,272000.0,0,0,0,1,0,0,0,0,0,0,0,6,0,3,3,1,4,7,8,0,8,0,5,,
37690980,2021-07-30 08:45:02,Joel,Sopó,36,20,79085,4600.0,165.0,69.6,25.58,117331,510000.0,1,0,0,30,0,0,0,0,0,0,0,16,5,5,2,4,9,7,7,0,8,2,4,,
37276405,2021-07-30 08:45:02,Artur,Szymkiewicz,1,22,79085,11000.0,179.0,75.3,23.52,37414,924000.0,1,6,13,54,0,0,0,0,0,0,0,6,10,5,1,6,12,9,8,0,5,8,9,,
37533726,2021-07-30 08:45:02,Tazar,Trbojević,39,20,79085,5700.0,164.0,67.4,25.05,73668,381000.0,0,3,0,7,0,0,0,0,0,0,0,2,5,8,4,4,10,3,6,0,7,2,8,,
36519432,2021-08-06 08:33:45,Krastan,Apostolov,54,30,79085,32200.0,177.0,71.5,22.82,81617,3191000.0,0,0,0,92,0,0,0,0,0,0,0,17,10,9,3,6,15,3,9,10,5,5,3,,
36103236,2021-08-06 08:33:45,Ilario,Bartolozzi,10,30,79085,17500.0,169.0,67.3,23.55,44617,1541000.0,2,6,46,148,0,0,0,0,0,0,0,13,17,11,4,10,13,7,8,0,8,9,8,,
37968028,2021-08-06 08:33:45,Cecilio,Bazzarella,21,21,79085,4900.0,175.0,77.4,25.26,79085,360000.0,0,0,0,1,0,0,0,0,0,0,0,9,1,1,5,3,7,1,9,0,5,7,7,,
37968048,2021-08-06 08:33:45,Josimar,Bendler,21,21,79085,4700.0,166.0,66.9,24.27,79085,281000.0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,7,2,7,7,1,1,0,,
37937282,2021-08-06 08:33:45,Mustapha,Bonnet,16,19,79085,4800.0,183.0,72.3,21.58,43275,294000.0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,3,2,10,3,0,0,7,0,7,,
37464066,2021-08-06 08:33:45,Rody,de Houston,21,23,79085,19400.0,173.0,74.9,25.04,79777,1644000.0,0,0,0,25,0,0,0,0,0,0,0,9,5,6,3,4,12,2,9,10,2,3,3,,
37432229,2021-08-06 08:33:45,Christophe,Derungs,24,23,79085,9400.0,183.0,91.3,27.26,71816,755000.0,0,0,0,14,0,0,0,0,0,0,0,11,3,11,3,3,10,8,9,0,8,2,2,,
37442584,2021-08-06 08:33:45,Fabricio,Fontanello,19,23,79085,16000.0,166.0,61.2,22.22,19087,1279000.0,1,0,0,27,0,0,0,0,0,0,0,7,5,8,5,5,11,7,11,8,7,4,4,,
36952891,2021-08-06 08:33:45,Jan Sebastian,Gałęzewski,1,25,79085,10700.0,178.0,75.5,23.84,94100,567000.0,2,0,1,36,0,0,0,0,0,0,0,0,5,11,5,5,10,5,9,0,8,9,2,,
37968030,2021-08-06 08:33:45,Amado,Grotto,21,21,79085,4100.0,177.0,66.1,21.1,79085,238000.0,0,0,0,2,0,0,0,0,0,0,0,4,0,2,1,1,7,8,1,0,7,0,6,,
37262806,2021-08-06 08:33:45,Kristián,Hakel,14,25,79085,10900.0,191.0,88.6,24.28,28110,685000.0,2,42,16,39,0,0,0,0,14,0,0,1,9,3,0,5,11,5,8,3,7,9,10,,
37606570,2021-08-06 08:33:45,Gustav,Hamp,30,20,79085,6500.0,186.0,87.5,25.3,33212,613000.0,0,0,0,4,0,0,0,0,0,0,0,16,3,4,5,4,10,8,4,1,9,5,1,,
37451705,2021-08-06 08:33:45,Hector,Honceriu,9,21,79085,9100.0,168.0,69.4,24.6,71548,655000.0,1,3,0,26,0,0,0,0,0,0,0,6,5,9,5,5,10,5,3,0,10,5,7,,
