matchID, Numero, Nome,  Posicao, Nota, Tempo, Chutes, Faltas, Ofens, Defens, yellowCards, redCards, Goals, Assis, Data
38144835, 1, "Josimar Bendler", "GK", 33, 90, 0, 0, 1, 0, 0, 0, 0, 0, "2021-07-18 21:58"	 
38144835, 2, "Giovani Barriguinha", "DEF", 19, 90, 0, 0, 6, 7, 0, 0, 0, 0, "2021-07-18 21:58"
38144835, 3, "Amado Grotto", "DEF", 19, 90, 0, 0, 7, 1, 0, 0, 0, 0, "2021-07-18 21:58"
38144835, 4, "Romildo Barbadiano", "DEF", 26, 90, 0, 0, 4, 9, 0, 0, 0, 0, "2021-07-18 21:58"
38144835, 5, "Renê Santinho", "DEF", 27, 90, 0, 0, 8, 9,  0, 0, 0, 0, "2021-07-18 21:58"
38144835, 6, "Ernane Zanella", "MID", 23, 90, 0, 0,	10,	11, 0, 0, 0, 0, "2021-07-18 21:58"
38144835, 7, "Serginho Siakam", "MID", 24, 90, 0, 0, 9, 28, 0, 0, 0, 0, "2021-07-18 21:58"
38144835, 8, "Calixto Vasallo", "MID", 23, 90, 0, 0,	19,	11, 0, 0, 0, 0, "2021-07-18 21:58"
38144835, 9, "Devanir Martini", "MID", 28, 90, 0, 0, 15,	5, 0, 0, 0, 0, "2021-07-18 21:58"
38144835, 10, "Cecilio Bazzarella", "MID", 27, 90, 1, 0, 7, 10, 0, 0, 0, 0, "2021-07-18 21:58"
38144835, 11, "Nélio Narenti", "ATT", 25, 90, 6, 0, 13, 8, 0, 0, 0, 0, "2021-07-18 21:58"

38341511, 1, "Krastan Apostolov", "GK", 53, 90, 0, 0, 11, 0, 0, 0, 0, 0, "2021-07-21 22:00"
38341511, 2, "Tazar Trbojević", "DEF", 27, 90, 0, 0,	10,	16, 0, 0, 0, 0, "2021-07-21 22:00"
38341511, 3, "Hector Honceriu", "DEF", 32, 90, 0, 0,	5,	9, 0, 0, 0, 0, "2021-07-21 22:00"
38341511, 4, "Gustav Hamp", "DEF", 31, 90, 0, 1, 3,	6, 0, 0, 0, 0, "2021-07-21 22:00"
38341511, 5, "Nélio Narenti", "DEF", 33, 90,	0, 2, 6, 14, 0, 0, 0, 0, "2021-07-21 22:00" 
38341511, 6, "Fabricio Fontanello", "MID", 29, 90, 0, 0, 1, 3, 0, 0, 0, 0, "2021-07-21 22:00"
38341511, 7, "Cecilio Bazzarella", "MID", 29, 90, 0, 0, 9, 6, 0, 0, 0, 0, "2021-07-21 22:00"
38341511, 8, "Jan Sebastian Gałęzewski", "MID", 38, 90, 0, 0, 11, 11, 0, 0, 0, 0, "2021-07-21 22:00"
38341511, 9, "Devanir Martini", "MID", 31, 90, 5, 0,	10,	3, 0, 0, 0, 0, "2021-07-21 22:00"
38341511, 10, "Ilario Bartolozzi", "MID", 50, 90, 3, 1, 17, 14, 0, 0, 0, 0, "2021-07-21 22:00"
38341511, 11, "Kristián Hakel", "ATT", 34, 90, 0, 0, 16, 18, 0, 0, 0, 0, "2021-07-21 22:00"

38144827, 1, "Krastan Apostolov", "GK", 23, 90, 0, 0, 0, 0, 0, 0, 0, 0, "2021-07-25 21:58"	 	 	 	 	 
38144827, 2, "Nélio Narenti", "DEF", 34, 90,	0, 0, 10, 13, 0, 0, 0, 0, "2021-07-25 21:58"
38144827, 3, "Hector Honceriu", "DEF", 36, 90, 0, 0, 3, 4, 0, 0, 0, 0, "2021-07-25 21:58"
38144827  4, "Gustav Hamp", "DEF", 31, 90, 0, 0, 3, 4, 0, 0, 0, 0, "2021-07-25 21:58"
38144827, 5, "Tazar Trbojević", "DEF", 30, 90, 0, 0, 6, 8, 0, 0, 0, 0, "2021-07-25 21:58"
38144827, 6, "Fabricio Fontanello", "DEF", 33, 90, 0, 0, 2, 2, 0, 0, 0, 0, "2021-07-25 21:58"
38144827, 7, "Artur Szymkiewicz", "MID", 44,	90, 5, 0, 15, 6, 0, 0, 2, 1, "2021-07-25 21:58"
38144827, 8, "Jan Sebastian Gałęzewski", "MID", 38, 90, 0, 0, 6,	8, 0, 0, 0, 0, "2021-07-25 21:58"
38144827, 9, "Sică Mergiu", "ATT", 38, 90, 10, 0, 16, 18, 0, 0, 3, 1, "2021-07-25 21:58"
38144827, 10, "Ilario Bartolozzi", "MID", 48, 90,	0, 1, 20, 12, 0, 0, 0, 1, "2021-07-25 21:58"
38144827, 11, "Kristián Hakel", "MID", 34, 89, 0, 1, 19, 24, 1, 0, 0, 0, "2021-07-25 21:58"
38144827, 11, "Amado Grotto", "MID", 27, -89, 0, 0, 0, 0,	0, 0, 0, 0, "2021-07-25 21:58"

